 195.20   197.23   299.40    92.10   618.69   618.93   704.19   496.95  
 198.59   198.31   305.69    96.52   624.41   623.80   708.51   500.52  
 197.46   197.71   302.29    95.94   623.94   623.86   706.72   498.95  
 196.01   197.43   300.90    95.49   621.69   620.87   706.30   498.06  

 301.91    96.79   622.64   622.19   518.75   727.45   200.59   199.47  
 301.92    94.54   621.85   621.60   516.23   723.57   197.17   196.77  
 301.63    95.82   621.12   621.12   520.82   724.66   199.70   199.15  
 302.77    96.39   621.64   621.30   520.17   726.04   201.42   200.56  

   1.40     1.23     0.97     1.69     1.12     0.97     1.20     1.25  
   1.51     1.39     1.38     1.30     1.44     1.28     1.42     1.39  
   1.21     1.19     1.29     1.24     0.96     0.87     0.89     0.92  
   1.09     1.09     0.63     0.62     0.66     0.25     0.88     0.82  
